time,rna_copies,label,filename,virus
2024-10-14,0.0,start,Mov-RSV-UEB.csv,RSV
2024-10-21,0.0,start,Mov-RSV-UEB.csv,RSV
2024-10-28,0.0,start,Mov-RSV-UEB.csv,RSV
2024-11-04,23521262325.9073,start,Mov-RSV-UEB.csv,RSV
2024-11-11,114244926640.4233,on going,Mov-RSV-UEB.csv,RSV
2024-11-18,171367389960.63495,on going,Mov-RSV-UEB.csv,RSV
2024-11-25,332181460975.31903,on going,Mov-RSV-UEB.csv,RSV
2024-12-02,392579834995.7315,on going,Mov-RSV-UEB.csv,RSV
2024-12-09,494970255703.0544,on going,Mov-RSV-UEB.csv,RSV
2024-12-16,826178249926.1211,on going,Mov-RSV-UEB.csv,RSV
2024-12-23,1042783504396.995,on going,Mov-RSV-UEB.csv,RSV
2025-01-06,1385815911676.29,on going,Mov-RSV-UEB.csv,RSV
2025-01-13,731257583073.391,on going,Mov-RSV-UEB.csv,RSV
2025-01-20,706891130892.1794,on going,Mov-RSV-UEB.csv,RSV
2025-01-27,822240781352.5131,on going,Mov-RSV-UEB.csv,RSV
2025-02-03,727277996949.1317,on going,Mov-RSV-UEB.csv,RSV
2025-02-10,713207410420.3024,on going,Mov-RSV-UEB.csv,RSV
2025-02-17,510511616639.0717,on going,Mov-RSV-UEB.csv,RSV
2025-02-24,676054409023.0646,on going,Mov-RSV-UEB.csv,RSV
2025-03-03,462616769314.9046,on going,Mov-RSV-UEB.csv,RSV
2025-03-10,434775547256.9033,on going,Mov-RSV-UEB.csv,RSV
2025-03-17,238455917145.248,on going,Mov-RSV-UEB.csv,RSV
2025-03-24,288367384816.64233,on going,Mov-RSV-UEB.csv,RSV
2025-03-31,219993579736.32,on going,Mov-RSV-UEB.csv,RSV
2025-04-07,168448967763.6,on going,Mov-RSV-UEB.csv,RSV
2025-04-14,150540951128.97986,on going,Mov-RSV-UEB.csv,RSV
2025-04-21,143199322027.8092,on going,Mov-RSV-UEB.csv,RSV
2025-04-28,76731028440.44254,end,Mov-RSV-UEB.csv,RSV
2025-05-05,44727577403.668335,end,Mov-RSV-UEB.csv,RSV
2025-05-12,0.0,end,Mov-RSV-UEB.csv,RSV
2025-05-19,24430167175.962906,end,Mov-RSV-UEB.csv,RSV
2025-05-26,24430167175.962906,end,Mov-RSV-UEB.csv,RSV
2025-06-02,24430167175.962906,end,Mov-RSV-UEB.csv,RSV
2025-06-09,0.0,end,Mov-RSV-UEB.csv,RSV
2025-06-16,0.0,end,Mov-RSV-UEB.csv,RSV
2025-06-23,0.0,none,Mov-RSV-UEB.csv,RSV
2024-10-14,0.0,start,Mov-RSV-UEB.csv,RSV
2024-10-21,0.0,start,Mov-RSV-UEB.csv,RSV
2024-10-28,0.0,start,Mov-RSV-UEB.csv,RSV
2024-11-04,23521262325.9073,start,Mov-RSV-UEB.csv,RSV
2024-11-11,114244926640.4233,start,Mov-RSV-UEB.csv,RSV
2024-11-18,171367389960.63495,start,Mov-RSV-UEB.csv,RSV
2024-11-25,332181460975.31903,on going,Mov-RSV-UEB.csv,RSV
2024-12-02,392579834995.7315,on going,Mov-RSV-UEB.csv,RSV
2024-12-09,494970255703.0544,on going,Mov-RSV-UEB.csv,RSV
2024-12-16,826178249926.1211,on going,Mov-RSV-UEB.csv,RSV
2024-12-23,1042783504396.995,on going,Mov-RSV-UEB.csv,RSV
2025-01-06,1385815911676.29,on going,Mov-RSV-UEB.csv,RSV
2025-01-13,731257583073.391,on going,Mov-RSV-UEB.csv,RSV
2025-01-20,706891130892.1794,on going,Mov-RSV-UEB.csv,RSV
2025-01-27,822240781352.5131,on going,Mov-RSV-UEB.csv,RSV
2025-02-03,727277996949.1317,on going,Mov-RSV-UEB.csv,RSV
2025-02-10,713207410420.3024,on going,Mov-RSV-UEB.csv,RSV
2025-02-17,510511616639.0717,on going,Mov-RSV-UEB.csv,RSV
2025-02-24,676054409023.0646,on going,Mov-RSV-UEB.csv,RSV
2025-03-03,462616769314.9046,on going,Mov-RSV-UEB.csv,RSV
2025-03-10,434775547256.9033,on going,Mov-RSV-UEB.csv,RSV
2025-03-17,238455917145.248,on going,Mov-RSV-UEB.csv,RSV
2025-03-24,288367384816.64233,on going,Mov-RSV-UEB.csv,RSV
2025-03-31,219993579736.32,on going,Mov-RSV-UEB.csv,RSV
2025-04-07,168448967763.6,on going,Mov-RSV-UEB.csv,RSV
2025-04-14,150540951128.97986,on going,Mov-RSV-UEB.csv,RSV
2025-04-21,143199322027.8092,on going,Mov-RSV-UEB.csv,RSV
2025-04-28,76731028440.44254,on going,Mov-RSV-UEB.csv,RSV
2025-05-05,44727577403.668335,end,Mov-RSV-UEB.csv,RSV
2025-05-12,0.0,end,Mov-RSV-UEB.csv,RSV
2025-05-19,24430167175.962906,end,Mov-RSV-UEB.csv,RSV
2025-05-26,24430167175.962906,end,Mov-RSV-UEB.csv,RSV
2025-06-02,24430167175.962906,end,Mov-RSV-UEB.csv,RSV
2025-06-09,0.0,end,Mov-RSV-UEB.csv,RSV
2025-06-16,0.0,end,Mov-RSV-UEB.csv,RSV
2025-06-23,0.0,none,Mov-RSV-UEB.csv,RSV
2024-10-14,0.0,none,Mov-RSV-UEB.csv,RSV
2024-10-21,0.0,start,Mov-RSV-UEB.csv,RSV
2024-10-28,0.0,start,Mov-RSV-UEB.csv,RSV
