time,rna_copies,label
2023-06-05,,RSV
2023-06-12,,RSV
2023-06-19,,RSV
2023-06-26,,RSV
2023-07-03,,RSV
2023-07-10,,RSV
2023-07-17,,RSV
2023-07-24,,RSV
2023-07-31,,RSV
2023-08-07,,RSV
2023-08-14,,RSV
2023-08-21,,RSV
2023-08-28,,RSV
2023-09-04,,RSV
2023-09-11,,RSV
2023-09-18,,RSV
2023-09-25,,RSV
2023-10-02,,RSV
2023-10-09,,RSV
2023-10-16,,RSV
2023-10-23,,RSV
2023-10-30,,RSV
2023-11-06,,RSV
2023-11-13,,RSV
2023-11-20,,RSV
2023-11-27,,RSV
2023-12-04,,RSV
2023-12-11,,RSV
2023-12-18,,RSV
2023-12-25,,RSV
2024-01-01,,RSV
2024-01-08,,RSV
2024-01-15,,RSV
2024-01-22,,RSV
2024-01-29,,RSV
2024-02-05,,RSV
2024-02-12,,RSV
2024-02-19,,RSV
2024-02-26,,RSV
2024-03-04,,RSV
2024-03-11,,RSV
2024-03-18,,RSV
2024-03-25,,RSV
2024-04-01,,RSV
2024-04-08,,RSV
2024-04-15,,RSV
2024-04-22,,RSV
2024-04-29,,RSV
2024-05-06,,RSV
2024-05-13,,RSV
2024-05-20,,RSV
2024-05-27,,RSV
2024-06-03,,RSV
2024-06-10,,RSV
2024-06-17,,RSV
2024-06-24,,RSV
2024-07-01,,RSV
2024-07-08,,RSV
2024-07-15,,RSV
2024-07-22,,RSV
2024-07-29,,RSV
2024-08-05,,RSV
2024-08-12,,RSV
2024-08-19,,RSV
2024-08-26,,RSV
2024-09-02,,RSV
2024-09-09,,RSV
2024-09-16,,RSV
2024-09-23,,RSV
2024-09-30,,RSV
2024-10-07,,RSV
2024-10-14,,RSV
2024-10-21,,RSV
2024-10-28,,RSV
2024-11-04,,RSV
2024-11-11,,RSV
2024-11-18,,RSV
2024-11-25,,RSV
2024-12-02,,RSV
2024-12-09,,RSV
2024-12-16,,RSV
2024-12-23,,RSV
2025-01-06,,RSV
2025-01-13,,RSV
2025-01-20,,RSV
2025-01-27,,RSV
2025-02-03,,RSV
2025-02-10,,RSV
2025-02-17,,RSV
2025-02-24,,RSV
2025-03-03,1589213447259.795,RSV
2025-03-10,,RSV
2025-03-17,,RSV
2025-03-24,,RSV
2025-03-31,,RSV
2025-04-07,,RSV
2025-04-14,,RSV
2025-04-21,,RSV
2025-04-28,,RSV
2025-05-05,,RSV
2025-05-12,,RSV
2025-05-19,,RSV
2025-05-26,,RSV
2025-06-02,,RSV
2025-06-09,,RSV
2025-06-16,,RSV
2025-06-23,,RSV
